date,name,weight
2020-05-23,simone,10.625
2020-05-30,raisin,18.3125
2020-05-30,simone,10.5
2020-06-04,raisin,18.3125
2020-06-04,simone,10.25
2020-06-09,raisin,18.4375
2020-06-09,simone,10.5
2020-06-09,std,20.975
2020-06-10,raisin,18.1875
2020-06-10,simone,10.375
2020-06-13,raisin,18.125
2020-06-13,simone,10.5625
2020-06-16,raisin,18.4375
2020-06-16,simone,10.4375
2020-06-18,raisin,18.5
2020-06-18,simone,10.4375
2020-06-21,raisin,18.1875
2020-06-21,simone,10.4375
2020-06-23,raisin,18.3125
2020-06-23,simone,10.5
2020-07-12,raisin,18.5625
2020-07-12,simone,10.5
2020-07-13,raisin,18.375
2020-07-14,raisin,18.375
2020-07-15,raisin,18.5
2020-07-15,simone,10.375
2020-07-17,raisin,18.3125
2020-07-17,simone,10.75
2020-07-18,raisin,18.5625
2020-07-20,raisin,18.625
2020-07-20,simone,10.4375
2020-07-23,raisin,18.625
2020-07-24,raisin,18.5
2020-07-24,simone,10.5625
2020-07-27,raisin,18.5625
2020-07-27,simone,10.5
2020-07-29,raisin,18.375
2020-07-29,simone,10.5
2020-07-31,raisin,18.4375
2020-07-31,simone,10.4375
2020-08-02,raisin,18.5625
2020-08-02,simone,10.625
2020-08-02,std,20.975
2020-08-03,raisin,18.4375
2020-08-03,simone,10.5
2020-08-04,raisin,18.5625
2020-08-04,simone,10.4375
2020-08-06,raisin,18.5
2020-08-06,simone,10.5625
2020-08-07,raisin,18.3125
2020-08-07,simone,10.375
2020-09-01,raisin,18.5625
2020-09-01,simone,9.375
2020-09-07,raisin,18.1875
2020-09-07,simone,9.9375
